,label,industry,year,K_C_V01,K_C_V02,K_C_V03,K_C_V04,K_C_V05,K_C_V06,K_C_V07,K_C_V08,K_C_V09,K_C_V10,K_C_V13,K_C_V14,K_C_V15,K_C_V16,K_C_V17,K_C_V18,K_C_V19,K_C_V20,K_C_V21,K_C_V22,K_C_V23,K_C_V25,K_C_V28,K_C_V29,K_C_V30,K_C_V32,K_C_V33,K_C_V34
3960,PPC,Điện,2017.0,1.873202,0.16074,223.302306,,0.073077,0.153842,0.027677,0.133497,0.42305,0.475011,4.823356,0.274428,0.378222,0.20924,0.734272,-0.027241,11.304953,1.952791,0.512088,0.104752,-9.871504,0.088457,-0.009094,0.569475,-0.00517,-0.280257,-0.426453,0.6232
3961,PPC,Điện,2018.0,1.838811,0.199841,147.890047,,0.033919,0.060257,0.02056,0.10823,0.369007,0.56291,5.264201,0.189962,0.234511,0.224034,1.015012,-0.050517,30.081322,2.765105,0.36165,0.164468,-25.232546,0.033243,-0.571102,0.450787,0.096305,-0.194017,-1.03258,0.418869
3962,PPC,Điện,2019.0,1.843777,0.186753,111.516242,,0.09052,0.156073,0.033164,0.186418,0.33441,0.579985,5.621062,0.177902,0.2164,0.245442,1.194209,-0.04504,12.459151,3.372515,0.296515,0.176188,-10.512751,0.080262,1.77607,0.114373,0.156607,-0.057287,-10.216844,0.074497
3963,PPE,Xây dựng và Vật liệu,2016.0,2.089282,-2.590287,1436.308635,,0.0,0.0,0.283084,1.1087,0.718417,0.971373,3.9165,0.269943,0.369756,-0.271306,0.182714,-0.000505,,0.127062,7.870184,-0.00815,,0.0,,,,,,
3964,PPE,Xây dựng và Vật liệu,2017.0,1.422878,-5.798448,13616.014447,,0.001608,0.001669,0.286875,0.840325,0.826643,0.963596,2.92924,0.360063,0.562654,-0.639989,0.020643,0.0,14.545551,0.028292,35.345304,0.013498,-6.150993,0.06875,,-2.295707,-0.922183,-0.099781,-0.090751,-0.55129
3965,PPE,Xây dựng và Vật liệu,2018.0,1.432293,0.345579,816.88921,,0.011663,0.011707,0.063144,0.149508,1.103607,0.996255,2.367742,0.437361,0.777338,-0.466453,0.456381,0.0,33.870093,0.357955,2.793646,0.224268,-14.641815,0.029525,8.021964,19.665391,20.47587,0.660455,-0.097576,-2.252054
3966,PPE,Xây dựng và Vật liệu,2019.0,1.549951,-1.073678,6049.328241,,0.014735,0.014857,0.006869,0.019155,1.823667,0.991774,2.788578,0.388553,0.635464,-0.691287,0.09128,0.0,6.594334,0.05328,18.76876,0.043729,-3.62656,0.151645,-0.002045,-0.845971,-0.752821,0.305358,-0.382395,-1.603659
3967,PPH,Hàng cá nhân,2016.0,1.858469,0.08286,147.308492,-2088.456139,0.149558,0.325642,0.019286,0.056401,0.538645,0.459271,2.924397,0.664146,1.977489,0.086366,1.376663,-0.003009,4.461998,1.238897,0.80699,0.09432,-3.831338,0.224065,,,,,,
3968,PPH,Hàng cá nhân,2017.0,1.904169,0.055673,324.215641,-4731.634594,0.187602,0.406153,0.012477,0.033197,0.518243,0.461901,2.66059,0.689266,2.21819,0.071494,0.613699,-0.001124,3.031254,1.097305,0.91025,0.05389,-2.743997,0.329508,0.373268,-0.374496,-0.016468,0.053309,-0.105856,-0.373178
3969,PPH,Hàng cá nhân,2018.0,1.913037,0.054586,267.798905,-4838.864455,0.246319,0.49987,0.007867,0.017844,0.438865,0.492766,2.268153,0.690231,2.228213,0.076398,0.678287,-0.002112,2.617321,1.469007,0.678665,0.054272,-2.396991,0.38091,0.341687,0.029097,0.172017,-0.134655,0.166009,0.135865
